2.45;0.11;2.9
14.25;0.82;1.7
15.90;0.71;2.8
2.40;0.05;3.7
0.65;0.05;4.7
15.90;0.77;2.3
12.70;0.74;1.6
17.40;0.73;2.7
14.20;0.45;2.5
14.15;0.40;3.5
16.95;0.40;2.5
16.95;0.51;3.6
8.40;0.41;1.5
4.80;0.33;2.5
6.40;0.44;3.9
3.05;0.37;4.7
4.55;0.45;3.9
3.50;0.42;3.8
11.20;0.34;2.9
7.70;0.44;2.9
7.60;0.38;1.7
2.90;0.21;2.7
1.90;0.23;2.7
3.95;0.23;1.5
